DateTime,Open,High,Low,Close,Volume
2005-01-07,102.58,105.22,102.46,104.83,0
2005-01-14,104.83,104.86,101.79,102.12,0
2005-01-21,102.12,103.96,101.71,102.71,0
2005-01-28,102.71,104.37,102.38,103.38,0
2005-02-04,103.38,104.75,103.38,104.09,0
2005-02-11,104.33,106.88,104.13,105.76,0
2005-02-18,105.76,105.89,104.32,105.63,0
2005-02-25,105.63,105.83,103.86,105.25,0
2005-03-04,105.25,105.62,104.14,104.73,0
2005-03-11,104.77,105.38,103.68,104.01,0
2005-03-18,103.85,105.2,103.73,104.76,0
2005-03-25,104.78,106.59,104.7,106.4,0
2005-04-01,106.53,107.81,106.52,107.6,0
2005-04-08,107.68,108.91,107.58,108.3,0
2005-04-15,108.3,108.58,107.15,107.78,0
2005-04-22,107.67,108.07,105.79,106.04,0
2005-04-29,105.34,106.42,104.65,104.81,0
2005-05-06,105.11,105.44,104.23,105.01,0
2005-05-13,105.15,107.46,104.95,107.36,0
2005-05-20,107.3,108.32,106.59,108.19,0
2005-05-27,108.24,108.32,107.25,107.97,0
2005-06-03,108.01,108.89,107.49,107.74,0
2005-06-10,107.72,108.67,106.53,108.64,0
2005-06-17,108.64,109.7,108.48,108.6,0
2005-06-24,108.85,109.62,108.19,109.07,0
2005-07-01,109.22,111.03,109.16,110.91,0
2005-07-08,111.69,112.6,111.36,112.18,0
2005-07-15,112.2,112.44,110.79,112.24,0
2005-07-22,112.33,113.75,109.91,111.33,0
2005-07-29,111.26,112.84,111.22,112.5,0
2005-08-05,112.55,112.79,110.79,112.0,0
2005-08-12,112.12,112.65,109.33,109.44,0
2005-08-19,109.46,110.85,109.07,110.44,0
2005-08-26,110.45,110.75,109.4,110.21,0
2005-09-02,110.22,111.8,109.23,109.63,0
2005-09-09,109.75,110.77,108.8,109.71,0
2005-09-16,109.36,111.51,109.07,111.37,0
2005-09-23,111.51,112.5,111.01,112.49,0
2005-09-30,112.52,113.71,112.11,113.5,0
2005-10-07,113.42,114.44,113.05,113.81,0
2005-10-14,113.8,115.11,113.59,114.08,0
2005-10-21,114.08,116.01,113.79,115.92,0
2005-10-28,115.92,116.25,114.65,115.69,0
2005-11-04,115.75,118.36,115.55,118.3,0
2005-11-11,118.27,118.4,116.88,117.94,0
2005-11-18,118.03,119.58,117.89,119.1,0
2005-11-25,119.23,119.71,118.23,119.6,0
2005-12-02,119.66,121.25,118.35,120.57,0
2005-12-09,121.11,121.43,120.0,120.7,0
2005-12-16,120.77,121.08,115.65,115.71,0
2005-12-23,115.62,117.67,115.55,116.24,0
2005-12-30,116.69,118.02,116.67,117.85,0
2006-01-06,117.82,117.92,114.25,114.41,0
2006-01-13,114.57,114.91,113.44,114.26,0
2006-01-20,114.25,115.95,113.82,115.28,0
2006-01-27,115.26,117.47,114.19,117.24,0
2006-02-03,117.29,119.43,116.73,118.9,0
2006-02-10,118.83,119.2,116.92,117.93,0
2006-02-17,117.83,118.89,116.78,118.16,0
2006-02-24,118.23,119.03,116.46,116.89,0
2006-03-03,116.91,117.16,115.48,116.53,0
2006-03-10,116.41,119.16,116.07,118.98,0
2006-03-17,118.94,119.22,115.72,115.91,0
2006-03-24,116.03,118.53,115.54,117.48,0
2006-03-31,117.61,118.24,116.28,117.72,0
2006-04-07,117.85,118.82,116.71,118.31,0
2006-04-14,118.17,118.91,117.85,118.67,0
2006-04-21,118.6,118.62,116.59,116.63,0
2006-04-28,115.66,116.0,113.68,113.86,0
2006-05-05,113.7,114.21,112.26,112.51,0
2006-05-12,112.05,112.22,109.33,110.11,0
2006-05-19,109.6,112.28,109.02,111.75,0
2006-05-26,111.73,112.99,110.99,112.77,0
2006-06-02,112.67,113.39,111.36,111.65,0
2006-06-09,111.67,114.74,111.45,114.01,0
2006-06-16,114.21,115.46,113.99,115.16,0
2006-06-23,115.22,116.61,114.41,116.6,0
2006-06-30,116.55,116.74,114.19,114.49,0
2006-07-07,114.38,115.82,113.84,114.01,0
2006-07-14,114.03,116.42,113.48,116.16,0
