DateTime,Open,High,Low,Close,Volume
2005-01-07,1.3555,1.3576,1.3028,1.3053,0
2005-01-14,1.3053,1.3295,1.3053,1.3118,0
2005-01-21,1.3118,1.3129,1.2924,1.3049,0
2005-01-28,1.3049,1.3125,1.2947,1.3044,0
2005-02-04,1.3044,1.3094,1.2869,1.2873,0
2005-02-11,1.2832,1.2908,1.2734,1.2869,0
2005-02-18,1.2869,1.309,1.2869,1.3076,0
2005-02-25,1.3076,1.3276,1.3035,1.3249,0
2005-03-04,1.3249,1.3281,1.309,1.3245,0
2005-03-11,1.324,1.3481,1.3181,1.3457,0
2005-03-18,1.3465,1.3478,1.3267,1.3321,0
2005-03-25,1.3312,1.3318,1.2931,1.296,0
2005-04-01,1.2957,1.3058,1.2859,1.2908,0
2005-04-08,1.2895,1.2941,1.2802,1.2933,0
2005-04-15,1.2933,1.3016,1.2769,1.2921,0
2005-04-22,1.2915,1.3125,1.2878,1.3065,0
2005-04-29,1.3064,1.3071,1.2856,1.2866,0
2005-05-06,1.2866,1.2992,1.2813,1.2821,0
2005-05-13,1.2819,1.2912,1.2611,1.2627,0
2005-05-20,1.263,1.2691,1.2536,1.2566,0
2005-05-27,1.2552,1.263,1.2497,1.258,0
2005-06-03,1.2529,1.2547,1.2162,1.2232,0
2005-06-10,1.2231,1.2355,1.2109,1.212,0
2005-06-17,1.211,1.2287,1.2018,1.2284,0
2005-06-24,1.222,1.224,1.1984,1.2103,0
2005-07-01,1.2095,1.2187,1.2018,1.2105,0
2005-07-08,1.1945,1.2039,1.187,1.1969,0
2005-07-15,1.197,1.2257,1.1958,1.2044,0
2005-07-22,1.2031,1.2257,1.1956,1.206,0
2005-07-29,1.206,1.2162,1.1968,1.213,0
2005-08-05,1.2128,1.2404,1.2121,1.2355,0
2005-08-12,1.236,1.2487,1.2318,1.244,0
2005-08-19,1.2465,1.2468,1.2129,1.2167,0
2005-08-26,1.2167,1.2343,1.2159,1.2285,0
2005-09-02,1.2298,1.2591,1.2173,1.2542,0
2005-09-09,1.2541,1.2587,1.2376,1.2418,0
2005-09-16,1.2407,1.2418,1.2196,1.2233,0
2005-09-23,1.2171,1.2271,1.2043,1.2043,0
2005-09-30,1.2032,1.2093,1.1979,1.2026,0
2005-10-07,1.2026,1.2205,1.1901,1.2125,0
2005-10-14,1.2118,1.2154,1.1916,1.2085,0
2005-10-21,1.2086,1.2123,1.1876,1.1952,0
2005-10-28,1.1939,1.2174,1.1923,1.2068,0
2005-11-04,1.2062,1.209,1.1804,1.1823,0
2005-11-11,1.1813,1.1834,1.1673,1.1725,0
2005-11-18,1.1723,1.1796,1.1641,1.1775,0
2005-11-25,1.1774,1.1868,1.1688,1.1726,0
2005-12-02,1.1715,1.1905,1.1664,1.1719,0
2005-12-09,1.1703,1.1851,1.169,1.1814,0
2005-12-16,1.1784,1.2108,1.178,1.2015,0
2005-12-23,1.2029,1.2041,1.1803,1.1878,0
2005-12-30,1.1839,1.1934,1.1814,1.1843,0
2006-01-06,1.1815,1.2182,1.1815,1.2153,0
2006-01-13,1.2149,1.2165,1.2009,1.2136,0
2006-01-20,1.2151,1.2177,1.2042,1.2141,0
2006-01-27,1.2145,1.2326,1.2087,1.2105,0
2006-02-03,1.2109,1.2192,1.197,1.2026,0
2006-02-10,1.2039,1.2048,1.1894,1.1902,0
2006-02-17,1.1902,1.1955,1.1852,1.1937,0
2006-02-24,1.1934,1.1978,1.1865,1.1876,0
2006-03-03,1.1876,1.2053,1.1827,1.2042,0
2006-03-10,1.2049,1.2094,1.1861,1.1919,0
2006-03-17,1.1917,1.2208,1.1913,1.219,0
2006-03-24,1.2184,1.2197,1.1954,1.2037,0
2006-03-31,1.2041,1.2179,1.1981,1.2118,0
2006-04-07,1.2118,1.2335,1.2035,1.2095,0
2006-04-14,1.2106,1.217,1.2068,1.2112,0
2006-04-21,1.2123,1.2396,1.2122,1.2344,0
2006-04-28,1.2373,1.2644,1.2334,1.2635,0
2006-05-05,1.2632,1.2765,1.2557,1.2734,0
2006-05-12,1.2738,1.296,1.2664,1.2923,0
2006-05-19,1.2946,1.2973,1.2695,1.2778,0
2006-05-26,1.2764,1.2893,1.2695,1.273,0
2006-06-02,1.2736,1.2942,1.272,1.2924,0
2006-06-09,1.2936,1.2982,1.2598,1.2644,0
2006-06-16,1.2625,1.2673,1.2533,1.2645,0
2006-06-23,1.2649,1.2682,1.2481,1.2511,0
2006-06-30,1.2517,1.2795,1.2505,1.2793,0
2006-07-07,1.2786,1.2865,1.271,1.2812,0
2006-07-14,1.2818,1.282,1.2629,1.2652,0
2006-07-21,1.2654,1.27,1.2461,1.2693,0
2006-07-28,1.2711,1.2773,1.2561,1.2761,0
2006-08-04,1.2769,1.2912,1.2722,1.288,0
2006-08-11,1.2875,1.2916,1.2716,1.2728,0
2006-08-18,1.2726,1.2888,1.2698,1.283,0
2006-08-25,1.2828,1.2942,1.2728,1.2756,0
2006-09-01,1.2768,1.288,1.2753,1.2841,0
2006-09-08,1.2844,1.2876,1.2654,1.2678,0
2006-09-15,1.2673,1.2756,1.2634,1.2664,0
2006-09-22,1.2644,1.2833,1.2631,1.2792,0
2006-09-29,1.2787,1.282,1.2642,1.2677,0
2006-10-06,1.2687,1.2768,1.2573,1.2599,0
2006-10-13,1.2596,1.2615,1.2485,1.2513,0
2006-10-20,1.2511,1.2646,1.2491,1.2617,0
2006-10-27,1.262,1.2753,1.2528,1.2742,0
2006-11-03,1.2733,1.28,1.268,1.2718,0
2006-11-10,1.2719,1.2901,1.2692,1.2843,0
2006-11-17,1.2848,1.2879,1.2765,1.2831,0
2006-11-24,1.2831,1.311,1.2799,1.3098,0
2006-12-01,1.317,1.335,1.3088,1.334,0
