DateTime,Open,High,Low,Close,Volume
2017-08-18,4261.48,4485.39,3938.77,4108.37,1995.0386409999999
2017-08-25,4108.37,4453.91,3400.0,4280.68,4868.988761
2017-09-01,4280.71,4885.55,4124.54,4834.91,3712.279236
2017-09-08,4796.16,4939.19,3603.0,4282.8,6683.996311
2017-09-15,4282.8,4426.62,2817.0,3700.0,7446.126191
2017-09-22,3674.01,4123.2,3470.66,3595.87,6473.629332
2017-09-29,3595.88,4300.0,3542.91,4174.69,5749.417737
2017-10-06,4175.0,4561.63,4110.0,4369.0,5339.53032
2017-10-13,4369.0,5846.17,4312.56,5649.98,6415.70292
2017-10-20,5650.0,6110.0,5037.95,6010.01,11445.651959
2017-10-27,6013.72,6171.0,5286.98,5768.83,13078.861894
2017-11-03,5768.79,7346.34,5630.03,7115.04,12137.718136
2017-11-10,7115.02,7770.02,6255.01,6506.98,13800.704067
2017-11-17,6503.0,7989.0,5325.01,7699.19,19692.13402
2017-11-24,7680.01,8400.0,7422.0,8138.0,28303.462794
2017-12-01,8138.99,11300.03,8090.0,10782.99,46755.877288
2017-12-08,10775.04,17204.99,10500.0,15880.0,52110.258048
2017-12-15,15880.01,17991.0,12368.0,17539.83,84943.469932
2017-12-22,17516.81,19798.68,10961.0,13326.61,107066.178602
2017-12-29,13326.61,16498.05,11640.0,14378.9,127231.680427
2018-01-05,14378.99,17176.24,11750.0,16960.39,120164.96405
2018-01-12,16960.39,17143.13,11400.0,13740.01,139363.08477400002
2018-01-19,13749.95,14580.0,9035.0,11474.98,262218.273741
2018-01-26,11474.98,13099.0,9900.24,11089.0,232430.574501
2018-02-02,11089.0,12244.0,8010.02,8873.03,177025.206444
2018-02-09,8873.03,9473.01,6000.01,8683.92,307126.90071
2018-02-16,8683.93,10323.37,7726.53,10159.98,303250.279607
2018-02-23,10156.07,11786.01,9570.19,10131.04,384380.948161
2018-03-02,10131.04,11200.0,9274.8,11039.0,214649.599566
2018-03-09,11038.99,11710.0,8329.0,9227.0,239112.311072
2018-03-16,9230.0,9888.88,7650.0,8260.0,304742.699809
2018-03-23,8260.0,9177.01,7322.0,8898.03,313341.598663
2018-03-30,8898.04,8999.95,6600.1,6840.23,292257.901369
2018-04-06,6840.24,7520.0,6430.0,6601.39,259562.788617
2018-04-13,6601.39,8233.39,6586.28,7877.41,254006.267045
2018-04-20,7877.48,8930.0,7810.0,8856.98,222262.909602
2018-04-27,8852.12,9759.82,8565.0,8915.35,304089.077074
2018-05-04,8915.35,9844.0,8800.49,9713.99,242503.497091
2018-05-11,9714.0,10020.0,8341.0,8400.0,210957.47848299998
2018-05-18,8405.94,8879.99,7911.9,8239.81,211437.534799
2018-05-25,8238.01,8609.0,7266.99,7457.0,189874.050738
2018-06-01,7456.99,7699.0,7032.95,7521.01,195874.453182
2018-06-08,7521.01,7786.69,7358.0,7603.44,193896.68144
2018-06-15,7603.44,7683.98,6118.68,6388.9,263638.257544
2018-06-22,6380.01,6841.74,5918.94,6045.0,202203.322306
2018-06-29,6045.92,6350.0,5750.0,6197.92,216332.767736
2018-07-06,6197.92,6784.92,6186.03,6609.78,228411.773192
2018-07-13,6609.79,6818.16,6070.0,6214.57,200287.391053
2018-07-20,6214.57,7700.0,6178.0,7337.53,275918.79738
2018-07-27,7337.47,8491.77,7211.0,8188.57,296076.355848
2018-08-03,8188.57,8294.51,7282.44,7418.78,264653.227816
2018-08-10,7412.27,7494.81,6026.39,6144.01,317908.637268
2018-08-17,6148.13,6609.0,5880.0,6584.49,364957.315588
2018-08-24,6579.04,6882.54,6220.0,6681.64,346511.90634
2018-08-31,6686.98,7135.0,6568.0,7011.21,253864.461697
2018-09-07,7011.21,7410.0,6265.0,6395.54,311100.921878
2018-09-14,6395.54,6584.99,6111.0,6476.63,249885.349336
2018-09-21,6476.63,6784.86,6123.0,6759.02,237432.35919
2018-09-28,6759.01,6839.03,6325.02,6634.58,244214.108692
2018-10-05,6634.58,6697.0,6430.0,6635.65,171510.823549
2018-10-12,6635.65,6715.6,6205.0,6298.01,159931.669358
2018-10-19,6298.0,7680.0,6285.07,6528.88,220562.024439
2018-10-26,6528.88,6663.9,6502.8,6538.63,87564.123832
2018-11-02,6538.63,6558.35,6245.02,6433.98,67212.60578
2018-11-09,6432.8,6615.15,6345.0,6419.99,78487.081256
2018-11-16,6419.99,6498.0,5403.42,5655.94,170753.280221
2018-11-23,5650.57,5738.17,4222.94,4420.61,383192.954146
2018-11-30,4415.63,4527.0,3652.66,4041.32,559094.772424
2018-12-07,4041.27,4312.99,3224.6,3403.55,388865.20288
2018-12-14,3403.57,3658.0,3177.0,3224.17,296689.784058
2018-12-21,3225.19,4139.99,3156.26,3838.66,460581.708731
2018-12-28,3840.25,4198.0,3535.0,3839.26,343004.394678
2019-01-04,3839.0,3903.5,3630.33,3792.01,219913.174947
2019-01-11,3790.09,4069.8,3465.0,3601.31,264546.0666
2019-01-18,3601.31,3671.87,3441.3,3594.87,197707.962052
2019-01-25,3594.87,3720.0,3434.85,3565.29,162427.837076
2019-02-01,3566.69,3662.94,3349.92,3462.07,190998.097539
2019-02-08,3462.2,3733.58,3373.1,3659.04,188128.376025
2019-02-15,3660.27,3684.99,3568.11,3602.47,170750.020962
2019-02-22,3602.49,4016.48,3597.91,3962.0,250758.313017
2019-03-01,3962.0,4198.0,3677.17,3823.0,250061.372734
2019-03-08,3822.17,3932.0,3670.69,3864.89,189830.12467
2019-03-15,3864.88,3971.75,3810.43,3923.76,192405.022177
2019-03-22,3924.46,4069.32,3880.01,3986.93,169183.440218
2019-03-29,3987.89,4123.71,3888.71,4103.25,179562.949981
2019-04-05,4104.24,5275.01,4052.0,5004.95,374638.019655
2019-04-12,5004.96,5422.0,4861.22,5048.01,291678.671981
2019-04-19,5047.0,5320.0,4950.0,5258.68,159411.497073
2019-04-26,5258.68,5600.0,5102.0,5314.1,262316.972313
2019-05-03,5315.0,5844.0,5178.8,5772.69,158260.968013
2019-05-10,5770.62,6468.92,5587.45,6373.33,215817.422646
2019-05-17,6375.16,8366.0,6372.85,7355.26,519626.707034
2019-05-24,7355.28,8275.09,7156.61,7964.87,366243.312263
2019-05-31,7964.52,9074.26,7833.42,8555.0,310412.149774
