asset,timeframe,model_family,candidate_id,experiment_phase,input_family,weeks_observed,best_week,best_week_rap_pct,best_week_return_pct,best4_end_week,best4_mean_rap_pct,mean_weekly_rap_pct,mean_weekly_return_pct,mean_weekly_drawdown_pct,mean_weekly_trades,rel_volume,k_sl,k_tp,risk_penalty_lambda
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1,sltp_risk_geometry_phase8_v1,kitchen_sink_guarded,10,2023-12-18,20.458488,21.933919,2023-12-18,7.220598,1.303697,3.654515,4.701635,7.7,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed8_adaptive_top_seed_extension_seed8_v1,adaptive_top_seed_extension_seed8_v1,kitchen_sink_guarded,10,2023-12-18,20.458488,21.933919,2023-12-18,7.154879,2.926619,5.153497,4.453755,4.4,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed6_adaptive_top_seed_extension_seed6_v1,adaptive_top_seed_extension_seed6_v1,kitchen_sink_guarded,10,2023-12-04,15.273193,16.278849,2023-12-18,7.08133,0.81933,3.338358,5.038055,5.1,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed17_adaptive_top_seed_extension_seed17_v1,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023-12-18,15.380638,16.856069,2023-12-18,7.029734,3.273234,5.286057,4.025647,4.0,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed6_adaptive_top_seed_extension_seed6_v1,adaptive_top_seed_extension_seed6_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,6.564892,0.312076,2.719479,4.814805,7.2,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed14_adaptive_top_seed_extension_seed14_v1,adaptive_top_seed_extension_seed14_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,6.532934,1.008109,2.898284,3.780349,6.5,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed17_adaptive_top_seed_extension_seed17_v1,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023-12-18,14.212251,15.631319,2023-12-18,6.481929,2.777994,4.792131,4.028273,6.6,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1,adaptive_top_seed_extension_seed7_v1,kitchen_sink_guarded,10,2023-12-18,19.372209,20.684249,2023-12-18,6.357404,2.765596,5.170646,4.8101,4.2,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1,adaptive_top_seed_extension_seed9_v1,kitchen_sink_guarded,10,2023-12-18,20.458488,21.933919,2023-12-18,6.039639,2.013012,4.617306,5.208588,3.8,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed17_adaptive_top_seed_extension_seed17_v1,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023-12-18,11.768006,13.187074,2023-12-18,5.870868,1.106375,3.510226,4.807702,7.1,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1,sltp_risk_geometry_phase8_v1,kitchen_sink_guarded,10,2023-11-06,20.546995,21.514622,2023-11-27,5.793808,2.212952,4.231899,4.037895,7.6,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed14_adaptive_top_seed_extension_seed14_v1,adaptive_top_seed_extension_seed14_v1,kitchen_sink_guarded,10,2023-12-18,19.227447,20.728153,2023-12-18,5.689146,1.329476,3.716947,4.774941,4.6,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed13_adaptive_top_seed_extension_seed13_v1,adaptive_top_seed_extension_seed13_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,5.688816,1.32434,3.687127,4.725575,7.7,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed11_adaptive_top_seed_extension_seed11_v1,adaptive_top_seed_extension_seed11_v1,kitchen_sink_guarded,10,2023-12-18,12.627264,15.161245,2023-12-18,5.660741,-1.815696,1.034959,5.701309,6.6,0.5,2.0,3.0,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_aware_rv0p50_base_sltp_risk_geometry_phase8_v3,sltp_risk_geometry_phase8_v3,kitchen_sink_guarded,52,2022-06-06,12.272806,13.507103,2022-06-06,5.549862,-1.573434,0.279732,3.706332,4.942308,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed15_adaptive_top_seed_extension_seed15_v1,adaptive_top_seed_extension_seed15_v1,kitchen_sink_guarded,10,2023-11-06,14.825265,16.717663,2023-11-20,5.331994,-0.867786,2.125827,5.987226,4.3,0.5,2.0,3.0,0.5
