asset,timeframe,horizon_bucket,model_family,experiment_phase,input_family,coverage_weeks,test_year,mean_weekly_return_pct,annual_return_pct,mean_weekly_rap_pct,annual_rap_pct,mean_weekly_drawdown_pct,mean_weekly_test_trades,rel_volume,sltp_risk_mode,k_sl,k_tp,risk_penalty_lambda,train_years,training_policy,candidate_id,olap_profile_key
usdjpy,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.004855,0.252439,-0.041787,-2.172916,0.093283,3.096154,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdjpy_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpjpy,4h,long,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.022898,-1.190711,-0.068465,-3.560204,0.091134,2.788462,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpjpy_4h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
linkusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.102729,5.34193,-0.111388,-5.792177,0.428235,2.826923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,linkusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
ethusdt_perp,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.077291,4.019111,-0.135612,-7.051813,0.425805,3.538462,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,ethusdt_perp_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
bnbusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.060742,-3.158578,-0.260075,-13.52389,0.398666,2.961538,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,bnbusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.06169,-3.207858,-0.264831,-13.771205,0.406283,3.25,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt_perp,4h,long,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.061807,-3.213978,-0.272674,-14.179026,0.421733,3.326923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_perp_4h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
adausdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,adausdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
adausdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,adausdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
audusd,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,audusd_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
audusd,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,audusd_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
dogeusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,dogeusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
dogeusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,dogeusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurgbp,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurgbp_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurgbp,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurgbp_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurusd,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurusd_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurusd,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurusd_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpusd,15m,short,sac,annual_diversity_survey_fast40k_v2,tech_stat_decomp,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpusd_15m_tech_stat_decomp_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpusd,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpusd_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
nzdusd,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,nzdusd_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
nzdusd,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,nzdusd_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdcad,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdcad_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdcad,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdcad_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdchf,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdchf_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdchf,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdchf_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
xrpusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,xrpusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
xrpusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,xrpusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
solusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.104799,5.449552,-0.062997,-3.275841,0.335592,4.076923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,solusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurjpy,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.025806,-1.341918,-0.081672,-4.246955,0.111732,9.461538,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurjpy_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdjpy,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.027656,-1.43812,-0.082601,-4.295263,0.10989,8.134615,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdjpy_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
solusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.050876,2.645578,-0.103341,-5.373746,0.308436,10.673077,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,solusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpjpy,1h,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.03179,-1.65309,-0.103439,-5.378832,0.143298,10.826923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpjpy_1h_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
eurjpy,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.09134,-4.749659,-0.161357,-8.390569,0.140035,22.576923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,eurjpy_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
usdjpy,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.101317,-5.268471,-0.181429,-9.434306,0.160224,26.807692,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,usdjpy_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
linkusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.026768,1.391945,-0.20645,-10.73538,0.466436,10.326923,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,linkusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
gbpjpy,15m,short,sac,annual_diversity_survey_fast40k_v2,fx_full,52,2023,-0.142334,-7.401361,-0.249621,-12.980289,0.214574,34.653846,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,gbpjpy_15m_fx_full_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
bnbusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,0.006649,0.345735,-0.262991,-13.675532,0.53928,14.730769,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,bnbusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
linkusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.019885,-1.034041,-0.282311,-14.680176,0.524851,41.75,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,linkusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
ethusdt_perp,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.01894,-0.984885,-0.303311,-15.772192,0.568743,16.230769,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,ethusdt_perp_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
ethusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.03288,-1.709753,-0.309765,-16.107781,0.55377,16.519231,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,ethusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt_perp,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.056112,-2.917839,-0.332445,-17.287165,0.552666,14.211538,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_perp_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt,1h,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.10424,-5.42047,-0.392582,-20.414256,0.576684,14.961538,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_1h_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
ethusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.168888,-8.782156,-0.502496,-26.129781,0.667216,67.634615,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,ethusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
bnbusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.208297,-10.831419,-0.548752,-28.53509,0.68091,59.25,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,bnbusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
ethusdt_perp,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.199992,-10.399586,-0.550391,-28.620309,0.700797,59.461538,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,ethusdt_perp_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt_perp,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.29707,-15.447631,-0.665305,-34.595874,0.736471,55.788462,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_perp_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
btcusdt,15m,short,sac,annual_diversity_survey_fast40k_v2,kitchen_sink_guarded,52,2023,-0.361901,-18.818855,-0.7323,-38.079616,0.740799,60.423077,0.1,fixed_atr,1.5,2.0,0.5,1,scratch_n_years,btcusdt_15m_kitchen_sink_guarded_exec_annual_diversity_survey_fast40k_v2_sac_annual_fyv2022_fyt2023_scratch_1y,annual_survey_fast40k_rv0p10_sl1p5_tp2
