asset,timeframe,horizon_bucket,model_family,experiment_phase,input_family,coverage_weeks,test_year,mean_weekly_return_pct,annual_return_pct,mean_weekly_rap_pct,annual_rap_pct,mean_weekly_drawdown_pct,mean_weekly_test_trades,rel_volume,sltp_risk_mode,k_sl,k_tp,risk_penalty_lambda,train_years,training_policy,candidate_id,olap_profile_key
solusdt,4h,long,sac,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023,6.315702,63.157022,4.624337,46.24337,3.382731,4.6,0.5,margin_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed17_adaptive_top_seed_extension_seed17_v1,margin_aware_rv0p50_cap2p5
solusdt,4h,long,sac,adaptive_top_seed_extension_seed6_v1,kitchen_sink_guarded,10,2023,6.468716,64.687163,4.479989,44.799891,3.977454,4.3,0.5,rel_volume_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed6_adaptive_top_seed_extension_seed6_v1,aware_rv0p50_base
solusdt,4h,long,sac,adaptive_top_seed_extension_seed16_v1,kitchen_sink_guarded,10,2023,5.787449,57.874493,3.830929,38.309288,3.913041,5.0,0.5,margin_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed16_adaptive_top_seed_extension_seed16_v1,margin_aware_rv0p50_cap2p5
solusdt,4h,long,sac,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023,5.286057,52.860573,3.273234,32.73234,4.025647,4.0,0.5,rel_volume_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed17_adaptive_top_seed_extension_seed17_v1,aware_rv0p50_base
solusdt,4h,long,sac,adaptive_top_seed_extension_seed12_v1,kitchen_sink_guarded,10,2023,4.982411,49.824105,2.983403,29.834027,3.998016,4.2,0.5,rel_volume_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed12_adaptive_top_seed_extension_seed12_v1,aware_rv0p50_base
solusdt,4h,long,sac,adaptive_top_seed_extension_seed8_v1,kitchen_sink_guarded,10,2023,5.153497,51.534965,2.926619,29.26619,4.453755,4.4,0.5,rel_volume_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed8_adaptive_top_seed_extension_seed8_v1,aware_rv0p50_base
solusdt,4h,long,sac,adaptive_top_seed_extension_seed17_v1,kitchen_sink_guarded,10,2023,4.792131,47.921306,2.777994,27.779941,4.028273,6.6,0.5,fixed_atr,1.25,1.25,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed17_adaptive_top_seed_extension_seed17_v1,fixed_rv0p50_sl1p25_tp1p25
solusdt,4h,long,sac,adaptive_top_seed_extension_seed7_v1,kitchen_sink_guarded,10,2023,5.170646,51.706459,2.765596,27.655961,4.8101,4.2,0.5,rel_volume_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1,aware_rv0p50_base
solusdt,4h,long,sac,sltp_risk_geometry_phase8_v1,kitchen_sink_guarded,10,2023,4.737692,47.376921,2.715387,27.153868,4.04461,6.3,0.5,margin_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1,margin_aware_rv0p50_cap2p5
solusdt,4h,long,sac,adaptive_top_seed_extension_seed7_v1,kitchen_sink_guarded,10,2023,4.814072,48.14072,2.483723,24.837233,4.660697,4.1,0.5,margin_aware_atr,2.0,3.0,0.5,3,fine_tune_recent_window_chain,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1,margin_aware_rv0p50_cap2p5
