run_id,asset,timeframe,preset,algo,seed,timesteps
ethusdt_1h_sota_low_cost_sac_s0,ethusdt,1h,sota_low_cost,sac,0,100000
ethusdt_1h_sota_low_cost_sac_s1,ethusdt,1h,sota_low_cost,sac,1,100000
ethusdt_1h_sota_low_cost_dqn_s0,ethusdt,1h,sota_low_cost,dqn,0,100000
ethusdt_1h_sota_low_cost_dqn_s1,ethusdt,1h,sota_low_cost,dqn,1,100000
ethusdt_1h_crypto_full_ppo_s0,ethusdt,1h,crypto_full,ppo,0,100000
ethusdt_1h_crypto_full_ppo_s1,ethusdt,1h,crypto_full,ppo,1,100000
ethusdt_1h_crypto_full_sac_s0,ethusdt,1h,crypto_full,sac,0,100000
ethusdt_1h_crypto_full_sac_s1,ethusdt,1h,crypto_full,sac,1,100000
ethusdt_1h_crypto_full_dqn_s0,ethusdt,1h,crypto_full,dqn,0,100000
ethusdt_1h_crypto_full_dqn_s1,ethusdt,1h,crypto_full,dqn,1,100000
ethusdt_1h_kitchen_sink_guarded_ppo_s0,ethusdt,1h,kitchen_sink_guarded,ppo,0,100000
ethusdt_1h_kitchen_sink_guarded_ppo_s1,ethusdt,1h,kitchen_sink_guarded,ppo,1,100000
ethusdt_1h_kitchen_sink_guarded_sac_s0,ethusdt,1h,kitchen_sink_guarded,sac,0,100000
ethusdt_1h_kitchen_sink_guarded_sac_s1,ethusdt,1h,kitchen_sink_guarded,sac,1,100000
ethusdt_1h_kitchen_sink_guarded_dqn_s0,ethusdt,1h,kitchen_sink_guarded,dqn,0,100000
ethusdt_1h_kitchen_sink_guarded_dqn_s1,ethusdt,1h,kitchen_sink_guarded,dqn,1,100000
ethusdt_4h_baseline_12_ppo_s0,ethusdt,4h,baseline_12,ppo,0,100000
ethusdt_4h_baseline_12_ppo_s1,ethusdt,4h,baseline_12,ppo,1,100000
ethusdt_4h_baseline_12_sac_s0,ethusdt,4h,baseline_12,sac,0,100000
ethusdt_4h_baseline_12_sac_s1,ethusdt,4h,baseline_12,sac,1,100000
ethusdt_4h_baseline_12_dqn_s0,ethusdt,4h,baseline_12,dqn,0,100000
ethusdt_4h_baseline_12_dqn_s1,ethusdt,4h,baseline_12,dqn,1,100000
ethusdt_4h_tech_full_ppo_s0,ethusdt,4h,tech_full,ppo,0,100000
ethusdt_4h_tech_full_ppo_s1,ethusdt,4h,tech_full,ppo,1,100000
ethusdt_4h_tech_full_sac_s0,ethusdt,4h,tech_full,sac,0,100000
ethusdt_4h_tech_full_sac_s1,ethusdt,4h,tech_full,sac,1,100000
ethusdt_4h_tech_full_dqn_s0,ethusdt,4h,tech_full,dqn,0,100000
ethusdt_4h_tech_full_dqn_s1,ethusdt,4h,tech_full,dqn,1,100000
ethusdt_4h_tech_stat_ppo_s0,ethusdt,4h,tech_stat,ppo,0,100000
ethusdt_4h_tech_stat_ppo_s1,ethusdt,4h,tech_stat,ppo,1,100000
ethusdt_4h_tech_stat_sac_s0,ethusdt,4h,tech_stat,sac,0,100000
